pitcher_name,pitcher_walk_rate,pitcher_era,pitcher_strikeout_percentage,pitcher_batting_average_against,pitcher_home_run_average,pitcher_total_batters_faced
Mitch Keller,0.0646029609690444,4.214603688500896,0.215343203230148,0.2368775235531628,0.0309555854643337,743.0
Michael Wacha,0.0648967551622418,3.2852811977974388,0.2109144542772861,0.21976401179941,0.023598820058997,678.0
J.T. Ginn,0.0564516129032258,4.3963712491277045,0.2177419354838709,0.25,0.032258064516129,124.0
Bryan Baker,0.0666666666666666,4.506144742831133,0.2111111111111111,0.2,0.0222222222222222,90.0
Griffin Jax,0.055350553505535,2.0589076351158138,0.3431734317343173,0.1697416974169741,0.014760147601476,271.0
David Festa,0.0856031128404669,4.80160053351117,0.2801556420233463,0.2140077821011673,0.0350194552529182,257.0
Valente Bellozo,0.072992700729927,3.818353236957888,0.1532846715328467,0.22992700729927,0.0510948905109489,274.0
Jack Leiter,0.0915032679738562,9.746287128712872,0.196078431372549,0.2745098039215686,0.0457516339869281,153.0
Michel Otañez,0.1301369863013698,3.518796992481203,0.3767123287671233,0.184931506849315,0.0136986301369863,146.0
Corbin Burnes,0.0613026819923371,2.932212296374146,0.2196679438058748,0.2094508301404853,0.0268199233716475,783.0
Gerrit Cole,0.075880758807588,3.6688936700260446,0.2547425474254742,0.2059620596205962,0.029810298102981,369.0
Patrick Corbin,0.0694626474442988,5.58213716108453,0.1782437745740498,0.2647444298820445,0.0314547837483617,763.0
Daniel Hudson,0.073170731707317,3.1003937007874014,0.2439024390243902,0.1829268292682926,0.040650406504065,246.0
Joe Kelly,0.1185185185185185,5.163685453931826,0.2518518518518518,0.2222222222222222,0.0296296296296296,135.0
Anthony Molina,0.0839694656488549,6.36755823986195,0.148854961832061,0.2519083969465648,0.015267175572519,262.0
Josh Hader,0.0863309352517985,3.5512965050732803,0.3848920863309352,0.1474820143884892,0.0431654676258992,278.0
Nick Sandlin,0.1144067796610169,3.86958079541383,0.2838983050847458,0.1779661016949152,0.0508474576271186,236.0
Bryan Abreu,0.1027190332326284,3.321033210332103,0.3051359516616314,0.1842900302114803,0.0271903323262839,331.0
Spencer Arrighetti,0.0985691573926868,4.606970058200687,0.2655007949125596,0.2209856915739268,0.0333863275039745,629.0
Joey Cantillo,0.0884353741496598,4.631217838765008,0.2517006802721088,0.1972789115646258,0.0408163265306122,147.0
Pedro Avila,0.1,3.895140348707802,0.2285714285714285,0.2057142857142857,0.0228571428571428,350.0
Eli Morgan,0.0617283950617283,1.5261627906976745,0.2098765432098765,0.1728395061728395,0.0123456790123456,162.0
Ronel Blanco,0.0995607613469985,2.8631452581032413,0.2532942898975109,0.1683748169838946,0.0336749633967789,683.0
Andrew Chafin,0.1204819277108433,3.564998199495859,0.2811244979919678,0.2088353413654618,0.0200803212851405,249.0
Brenan Hanifee,0.0526315789473684,1.98019801980198,0.2017543859649122,0.2280701754385964,0.0175438596491228,114.0
Matt Festa,0.0842105263157894,5.567830313742818,0.231578947368421,0.2,0.0210526315789473,95.0
Will Vest,0.0633802816901408,2.8921998247151617,0.2147887323943662,0.2147887323943662,0.0105633802816901,284.0
Jason Foley,0.08,3.173803526448363,0.184,0.204,0.02,250.0
Tyler Holton,0.0453257790368272,2.2215067611075336,0.2152974504249291,0.1614730878186968,0.0198300283286118,353.0
Ryan Brasier,0.0388349514563106,3.4655371582595302,0.2135922330097087,0.203883495145631,0.029126213592233,103.0
Cal Quantrill,0.1029185867895545,4.718543046357616,0.1689708141321044,0.2288786482334869,0.032258064516129,651.0
Garrett Crochet,0.0550774526678141,3.6508602601762488,0.3511187607573149,0.2065404475043029,0.0309810671256454,581.0
Brant Hurter,0.037037037037037,2.6143790849673203,0.228395061728395,0.1975308641975308,0.0185185185185185,162.0
Adrian Morejon,0.0783582089552238,2.894356005788712,0.2649253731343283,0.2238805970149253,0.0149253731343283,268.0
Jeremiah Estrada,0.0878661087866108,3.040027022462422,0.3849372384937238,0.1673640167364016,0.0167364016736401,239.0
Robert Suarez,0.05859375,2.845849802371541,0.2265625,0.19921875,0.02734375,256.0
Jason Adam,0.082437275985663,1.99197676027113,0.2867383512544803,0.1397849462365591,0.017921146953405,279.0
Yu Darvish,0.0544217687074829,3.344803854094976,0.2414965986394557,0.2040816326530612,0.0374149659863945,294.0
Merrill Kelly,0.0640569395017793,3.706427415796441,0.195729537366548,0.2099644128113879,0.0391459074733096,281.0
Jameson Taillon,0.0472560975609756,3.4114599785204374,0.1875,0.2286585365853658,0.0320121951219512,656.0
Nick Martinez,0.0330882352941176,3.2171581769437,0.2077205882352941,0.2261029411764706,0.0238970588235294,544.0
Manuel Rodríguez,0.0733333333333333,2.2125102431029773,0.2133333333333333,0.1933333333333333,0.02,150.0
Colin Poche,0.0866666666666666,3.722084367245657,0.22,0.1866666666666666,0.0466666666666666,150.0
Edwin Uceta,0.0516129032258064,1.55096011816839,0.3612903225806451,0.1612903225806451,0.0129032258064516,155.0
Brady Singer,0.0679738562091503,3.607616078387707,0.2261437908496732,0.2274509803921568,0.0274509803921568,765.0
Max Fried,0.0801144492131616,3.402544407105137,0.2246065808297568,0.2045779685264663,0.0185979971387696,699.0
Nick Pivetta,0.0607638888888888,4.210147535084563,0.2881944444444444,0.2152777777777778,0.0486111111111111,576.0
Taj Bradley,0.0819964349376114,4.296431007047056,0.2620320855614973,0.2121212121212121,0.0392156862745098,561.0
Jared Shuster,0.0946372239747634,4.294134156609599,0.1640378548895899,0.2302839116719243,0.028391167192429,317.0
